,MSZoning,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,Functional,GarageType,SaleType,SaleCondition,Street,LotShape,HouseStyle,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,GarageFinish,GarageQual,GarageCond,PavedDrive,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
0,3,3,4,0,13,2,2,4,1,1,8,9,6,1,8,4,0.0,2.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,120,70.98846960167715,4928,6,5,1976,1976,1976.0,120,0,958,1078,958,0,0,958,0,0,2,0,2,1,5,1,1.0,2,440,0,205,0,0,0,0,0,2,2007,128000
1,3,3,4,1,12,2,2,0,0,5,12,13,6,1,8,4,0.0,2.0,3.0,0.0,2.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,20,95.0,15865,8,6,1970,1970,1970.0,351,823,1043,2217,2217,0,0,2217,1,0,2,0,4,1,8,1,1.0,2,621,81,207,0,0,224,0,0,10,2007,268000
2,3,3,1,0,15,2,2,0,1,1,7,7,6,1,8,4,0.0,2.0,0.0,0.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,60,92.0,9920,7,5,1996,1997,1996.0,862,0,255,1117,1127,886,0,2013,1,0,2,1,3,1,8,1,1.0,2,455,180,130,0,0,0,0,0,6,2007,269790
3,3,3,4,0,14,2,2,0,3,1,8,9,6,1,0,4,0.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,20,105.0,11751,6,6,1977,1977,1977.0,705,0,1139,1844,1844,0,0,1844,0,0,2,0,3,1,7,1,1.0,2,546,0,122,0,0,0,0,0,1,2010,190000
4,3,3,2,0,14,2,2,0,1,1,4,4,6,1,8,4,0.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,20,70.98846960167715,16635,6,7,1977,2000,1977.0,1246,0,356,1602,1602,0,0,1602,0,1,2,0,3,1,8,1,1.0,2,529,240,0,0,0,0,0,0,6,2009,215000
5,3,3,4,0,8,2,2,0,1,1,11,12,6,3,6,5,0.0,2.0,0.0,0.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,60,58.0,14054,7,5,2006,2006,2006.0,0,0,879,879,879,984,0,1863,0,0,2,1,4,1,9,1,1.0,3,660,100,17,0,0,0,0,0,11,2006,219210
6,3,3,4,0,19,2,2,0,3,1,12,13,4,5,8,4,0.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,20,70.98846960167715,11341,5,6,1957,1996,1957.0,1302,0,90,1392,1392,0,0,1392,1,0,1,1,3,1,5,1,1.0,2,528,0,0,0,0,95,0,0,5,2010,121500
7,3,3,0,0,19,2,2,0,1,1,12,13,0,1,8,4,0.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,20,88.0,13125,5,4,1957,2000,1957.0,168,682,284,1134,1803,0,0,1803,1,0,2,0,3,1,8,1,1.0,2,484,0,0,0,0,0,0,0,1,2006,155000
8,3,3,0,0,7,1,2,0,3,1,7,7,6,5,8,4,0.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,5.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,20,70.0,9170,5,7,1965,1965,1965.0,698,96,420,1214,1214,0,0,1214,1,0,1,0,2,1,6,0,0.0,2,461,0,0,184,0,0,0,400,4,2007,140000
9,3,3,4,0,12,2,2,0,1,1,7,7,6,5,0,0,0.0,3.0,5.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,50,80.0,8480,5,5,1947,1950,1947.0,442,0,390,832,832,384,0,1216,0,0,1,0,2,1,6,0,0.0,1,336,158,0,102,0,0,0,0,10,2008,118500
